catname,catdesc,eventname,starttime,venuename,venuecity,venuestate,qtysold,pricepaid
Pop,All rock and pop music concerts,Journey,2008-02-12 14:00:00,Reliant Stadium,Houston,TX,2,364
Opera,All opera and light opera,La Sonnambula,2008-03-14 19:00:00,War Memorial Opera House,San Francisco,CA,4,944
Pop,All rock and pop music concerts,Bon Jovi,2008-02-17 19:00:00,Paul Brown Stadium,Cincinnati,OH,2,504
Pop,All rock and pop music concerts,Rodrigo y Gabriela,2008-03-30 14:30:00,Rexall Place,Edmonton,AB,1,290
Pop,All rock and pop music concerts,Charlie Daniels Band,2008-02-28 19:30:00,Arrowhead Stadium,Kansas City,MO,1,265
Opera,All opera and light opera,The Fly,2008-02-17 19:30:00,Lyric Opera House,Chicago,IL,2,218
Opera,All opera and light opera,Rusalka,2008-02-10 19:30:00,Detroit Opera House,Detroit,MI,2,306
Pop,All rock and pop music concerts,Cher,2008-03-17 15:00:00,Jacksonville Municipal Stadium,Jacksonville,FL,3,384
Pop,All rock and pop music concerts,Alice Cooper,2008-02-14 19:00:00,Target Center,Minneapolis,MN,2,570
Pop,All rock and pop music concerts,Oasis,2008-03-28 15:00:00,Kauffman Stadium,Kansas City,MO,1,271
Musicals,Musical theatre,Hairspray,2008-02-14 19:30:00,Walter Kerr Theatre,New York City,NY,1,202
Musicals,Musical theatre,Hairspray,2008-02-14 19:30:00,Walter Kerr Theatre,New York City,NY,4,808
Pop,All rock and pop music concerts,Donny Osmond,2008-03-08 19:00:00,Yankee Stadium,New York City,NY,3,381
Musicals,Musical theatre,Chicago,2008-03-16 19:00:00,Curran Theatre,San Francisco,CA,1,201
Plays,All non-musical theatre,Wicked,2008-02-18 14:30:00,Ambassador Theatre,New York City,NY,4,1600
Pop,All rock and pop music concerts,Mars Volta,2008-03-05 14:30:00,AT&T Park,San Francisco,CA,1,72
Pop,All rock and pop music concerts,Ben Folds,2008-02-12 15:00:00,BMO Field,Toronto,ON,4,244
Plays,All non-musical theatre,Spring Awakening,2008-02-21 19:30:00,Gerald Schoenfeld Theatre,New York City,NY,3,399
Plays,All non-musical theatre,Glengarry Glen Ross,2008-03-07 19:00:00,August Wilson Theatre,New York City,NY,1,466
Pop,All rock and pop music concerts,Snoop Dogg,2008-03-14 19:00:00,Bell Centre,Montreal,QC,2,960
Plays,All non-musical theatre,Young Frankenstein,2008-03-02 14:00:00,Neil Simon Theatre,New York City,NY,1,450
Pop,All rock and pop music concerts,Decemberists,2008-02-22 20:00:00,PNC Park,Pittsburgh,PA,2,278
Musicals,Musical theatre,Mamma Mia!,2008-03-22 20:00:00,Booth Theatre,New York City,NY,1,480
Plays,All non-musical theatre,Iphigenia,2008-02-23 19:00:00,George Gershwin Theatre,New York City,NY,1,376
Pop,All rock and pop music concerts,Kansas,2008-02-25 14:00:00,Edward Jones Dome,St. Louis,MO,4,804
Pop,All rock and pop music concerts,The Roots,2008-02-13 14:00:00,Honda Center,Anaheim,CA,4,300
Pop,All rock and pop music concerts,Journey,2008-02-16 19:00:00,Soldier Field,Chicago,IL,1,326
Opera,All opera and light opera,Die Walkure,2008-02-16 14:00:00,Lyric Opera House,Baltimore,MD,2,760
Pop,All rock and pop music concerts,Great Big Sea,2008-02-17 19:30:00,Pizza Hut Park,Frisco,TX,1,379
Pop,All rock and pop music concerts,Kenny Wayne Shepherd,2008-02-13 15:00:00,null,null,null,1,443
Pop,All rock and pop music concerts,Rick Braun,2008-03-23 15:00:00,Nationals Park,Washington,DC,1,457
Plays,All non-musical theatre,Rosencrantz and Guildenstern Are Dead,2008-02-19 20:00:00,St. James Theatre,New York City,NY,3,336
Pop,All rock and pop music concerts,My Morning Jacket,2008-03-21 19:00:00,Great American Ball Park,Cincinnati,OH,1,263
Pop,All rock and pop music concerts,Cold War Kids,2008-03-20 15:00:00,Wrigley Field,Chicago,IL,2,608
Plays,All non-musical theatre,The 39 Steps,2008-04-01 19:30:00,Booth Theatre,New York City,NY,2,626
Pop,All rock and pop music concerts,Cher,2008-02-26 15:00:00,Pizza Hut Park,Frisco,TX,2,666
Plays,All non-musical theatre,Miss Julie,2008-03-18 14:00:00,Charles Playhouse,Boston,MA,1,322
Musicals,Musical theatre,High School Musical,2008-03-26 20:00:00,Lyceum Theatre,New York City,NY,4,864
Plays,All non-musical theatre,A Midsummer Night's Dream,2008-03-22 15:00:00,Palace Theatre,New York City,NY,3,885
Plays,All non-musical theatre,August: Osage County,2008-03-05 20:00:00,Vivian Beaumont Theatre,New York City,NY,2,114
Musicals,Musical theatre,Mamma Mia!,2008-03-26 19:30:00,Bernard B. Jacobs Theatre,New York City,NY,3,801
Pop,All rock and pop music concerts,Alicia Keys,2008-02-26 15:00:00,Yankee Stadium,New York City,NY,1,209
Plays,All non-musical theatre,November,2008-03-25 14:00:00,Nederlander Theatre,New York City,NY,2,496
Plays,All non-musical theatre,The Bacchae,2008-03-02 14:30:00,Imperial Theatre,New York City,NY,1,194
Pop,All rock and pop music concerts,Jamboree in the Hills,2008-03-01 15:00:00,CommunityAmerica Ballpark,Kansas City,KS,3,354
Plays,All non-musical theatre,The Seagull,2008-02-21 15:00:00,Carnegie Hall,New York City,NY,1,74
Musicals,Musical theatre,O - Cirque du Soleil,2008-03-08 14:30:00,Venetian Hotel,Las Vegas,NV,4,568
Musicals,Musical theatre,A Chorus Line,2008-04-03 15:00:00,Lunt-Fontanne Theatre,New York City,NY,2,610
Pop,All rock and pop music concerts,Soulfest,2008-03-18 14:00:00,Scotiabank Place,Ottawa,ON,4,704
Plays,All non-musical theatre,The Country Girl,2008-04-04 15:00:00,Charles Playhouse,Boston,MA,4,568
Plays,All non-musical theatre,The 39 Steps,2008-03-09 20:00:00,Music Box Theatre,New York City,NY,2,700
Plays,All non-musical theatre,A Streetcar Named Desire,2008-03-16 19:30:00,Greek Theatre,Los Angeles,CA,2,816
Pop,All rock and pop music concerts,Dolly Parton,2008-03-08 14:00:00,American Airlines Center,Dallas,TX,3,735
Musicals,Musical theatre,Mamma Mia!,2008-03-26 19:30:00,Bernard B. Jacobs Theatre,New York City,NY,1,327
Plays,All non-musical theatre,Oedipus the King,2008-03-18 19:00:00,Royce Hall,Los Angeles,CA,2,392
Pop,All rock and pop music concerts,Dave Koz,2008-03-18 19:00:00,PETCO Park,San Diego,CA,2,836
Pop,All rock and pop music concerts,Feist,2008-02-24 14:00:00,Hubert H. Humphrey Metrodome,Minneapolis,MN,2,414
Pop,All rock and pop music concerts,Gordon Lightfoot,2008-03-25 19:30:00,Joe Louis Arena,Detroit,MI,1,41
Opera,All opera and light opera,Das Rheingold,2008-03-28 20:00:00,Lyric Opera House,Chicago,IL,1,342
Pop,All rock and pop music concerts,Celtic Thunder,2008-03-25 19:30:00,Buck Shaw Stadium,Santa Clara,CA,4,1416
Plays,All non-musical theatre,Othello,2008-03-07 20:00:00,Shubert Theatre,New York City,NY,2,986
Pop,All rock and pop music concerts,Killers,2008-02-23 19:00:00,Joe Louis Arena,Detroit,MI,2,800
Pop,All rock and pop music concerts,Joanna Newsom,2008-02-21 19:00:00,Hubert H. Humphrey Metrodome,Minneapolis,MN,2,48
Pop,All rock and pop music concerts,Marc Anthony,2008-04-09 14:30:00,Jacksonville Municipal Stadium,Jacksonville,FL,2,870
Pop,All rock and pop music concerts,Tom Petty and the Heartbreakers,2008-03-01 14:00:00,Izod Center,East Rutherford,NJ,3,1227
Pop,All rock and pop music concerts,Regina Spektor,2008-03-16 15:00:00,The Palace of Auburn Hills,Auburn Hills,MI,2,496
Pop,All rock and pop music concerts,Ween,2008-03-20 19:30:00,Dolphin Stadium,Miami Gardens,FL,2,160
Pop,All rock and pop music concerts,Crosby Stills Nash,2008-02-26 19:30:00,Wachovia Center,Philadelphia,PA,1,284
Pop,All rock and pop music concerts,Rodrigo y Gabriela,2008-03-09 15:00:00,Time Warner Cable Arena,Charlotte,NC,2,732
Pop,All rock and pop music concerts,Reba McEntire,2008-02-28 15:00:00,Rogers Centre,Toronto,ON,2,522
Pop,All rock and pop music concerts,Buckcherry,2008-03-13 14:00:00,The Home Depot Center,Carson,CA,4,1640
Pop,All rock and pop music concerts,Chicago,2008-04-15 19:30:00,null,null,null,1,375
Pop,All rock and pop music concerts,Brad Paisley,2008-03-19 14:00:00,Toyota Center,Houston,TX,2,304
Plays,All non-musical theatre,Electra,2008-03-10 19:30:00,Royce Hall,Los Angeles,CA,2,356
Musicals,Musical theatre,Spamalot,2008-03-07 20:00:00,Luxor Hotel,Las Vegas,NV,2,728
Pop,All rock and pop music concerts,Live,2008-02-22 15:00:00,Scottrade Center,St. Louis,MO,2,242
Pop,All rock and pop music concerts,Bryan Adams,2008-03-17 14:00:00,Yankee Stadium,New York City,NY,1,288
Plays,All non-musical theatre,A Streetcar Named Desire,2008-03-16 19:30:00,Greek Theatre,Los Angeles,CA,3,246
Pop,All rock and pop music concerts,Demi Lovato,2008-02-27 19:30:00,Nassau Veterans Memorial Coliseum,Uniondale,NY,1,358
Pop,All rock and pop music concerts,Janet Jackson,2008-02-21 14:00:00,The Home Depot Center,Carson,CA,1,346
Plays,All non-musical theatre,A Bronx Tale,2008-03-18 20:00:00,August Wilson Theatre,New York City,NY,3,4770
Pop,All rock and pop music concerts,Toad The Wet Sprocket,2008-03-14 14:30:00,LP Field,Nashville,TN,3,5574
Plays,All non-musical theatre,To Be or Not To Be,2008-03-21 14:30:00,Studio 54,New York City,NY,1,2138
Plays,All non-musical theatre,Hedda Gabler,2008-04-07 19:00:00,Circle in the Square Theatre,New York City,NY,4,2196
Plays,All non-musical theatre,Wicked,2008-03-15 19:30:00,Biltmore Theatre,New York City,NY,1,768
Musicals,Musical theatre,High School Musical,2008-03-11 14:00:00,Hilton Theatre,New York City,NY,1,84
Pop,All rock and pop music concerts,Sevendust,2008-03-20 15:00:00,Izod Center,East Rutherford,NJ,2,490
Pop,All rock and pop music concerts,Nick Cave,2008-03-17 15:00:00,Oracle Arena,Oakland,CA,2,424
Pop,All rock and pop music concerts,The Swell Season,2008-02-23 15:00:00,Shea Stadium,New York City,NY,2,318
Musicals,Musical theatre,Chicago,2008-03-13 14:00:00,August Wilson Theatre,New York City,NY,1,131
Pop,All rock and pop music concerts,Creedence Clearwater Revisited,2008-03-18 20:00:00,Fenway Park,Boston,MA,2,134
Plays,All non-musical theatre,The Homecoming,2008-03-14 15:00:00,Lyceum Theatre,New York City,NY,2,164
Musicals,Musical theatre,Mystere Cirque du Soleil,2008-02-28 19:00:00,Hilton Hotel,Las Vegas,NV,2,438
Plays,All non-musical theatre,Rosencrantz and Guildenstern Are Dead,2008-02-26 14:00:00,Minskoff Theatre,New York City,NY,2,628
Pop,All rock and pop music concerts,Casting Crowns,2008-04-01 19:00:00,E.J. Nutter Center,Dayton,OH,1,255
Musicals,Musical theatre,A Catered Affair,2008-02-23 14:00:00,San Jose Repertory Theatre,San Jose,CA,1,220
Pop,All rock and pop music concerts,Bo Bice,2008-03-31 19:00:00,Bank of America Stadium,Charlotte,NC,1,285
Plays,All non-musical theatre,The Bacchae,2008-03-02 14:30:00,Imperial Theatre,New York City,NY,1,254
Pop,All rock and pop music concerts,Mike Gordon,2008-03-10 14:00:00,Lambeau Field,Green Bay,WI,2,386
Pop,All rock and pop music concerts,Maroon 5,2008-04-04 19:00:00,Lincoln Financial Field,Philadelphia,PA,2,530
Plays,All non-musical theatre,A Bronx Tale,2008-02-27 20:00:00,Minskoff Theatre,New York City,NY,2,408
Musicals,Musical theatre,High Society,2008-02-27 19:00:00,Booth Theatre,New York City,NY,4,824
Pop,All rock and pop music concerts,Jimmy Buffett,2008-03-06 15:00:00,AT&T Center,San Antonio,TX,1,346
Plays,All non-musical theatre,A Midsummer Night's Dream,2008-04-12 14:00:00,American Airlines Theatre,New York City,NY,3,1311
Plays,All non-musical theatre,Look Back in Anger,2008-03-17 20:00:00,Longacre Theatre,New York City,NY,1,86
Plays,All non-musical theatre,Waiting for Godot,2008-03-01 20:00:00,Lyceum Theatre,New York City,NY,1,33
Pop,All rock and pop music concerts,Rick Springfield,2008-03-24 19:00:00,RFK Stadium,Washington,DC,1,212
Pop,All rock and pop music concerts,Crue Fest,2008-03-20 15:00:00,RBC Center,Raleigh,NC,1,405
Musicals,Musical theatre,South Pacific,2008-03-25 14:30:00,Neil Simon Theatre,New York City,NY,1,310
Pop,All rock and pop music concerts,Little Big Town,2008-04-06 19:00:00,Toyota Park,Bridgeview,IL,1,396
Plays,All non-musical theatre,Woyzeck,2008-03-11 20:00:00,Greek Theatre,Los Angeles,CA,3,186
Musicals,Musical theatre,Memphis - The Birth of Rock n Roll,2008-03-17 19:00:00,Walter Kerr Theatre,New York City,NY,5,585
Musicals,Musical theatre,Zumanity,2008-03-25 15:00:00,Mandalay Bay Hotel,Las Vegas,NV,1,218
Pop,All rock and pop music concerts,Sunday in the Country,2008-02-27 14:00:00,Quicken Loans Arena,Cleveland,OH,1,328
Plays,All non-musical theatre,Cirque du Soleil,2008-04-13 20:00:00,Brooks Atkinson Theatre,New York City,NY,1,445
Plays,All non-musical theatre,The Caretaker,2008-04-17 19:00:00,Lincoln Center for the Performing Arts,New York City,NY,2,158
Musicals,Musical theatre,Beatles LOVE,2008-03-01 20:00:00,Tropicana Hotel,Las Vegas,NV,2,756
Pop,All rock and pop music concerts,Emmylou Harris,2008-03-22 15:00:00,Scotiabank Place,Ottawa,ON,2,318
Pop,All rock and pop music concerts,Tom Petty and the Heartbreakers,2008-03-01 14:00:00,Izod Center,East Rutherford,NJ,1,409
Pop,All rock and pop music concerts,Keith Urban,2008-02-24 19:30:00,Target Center,Minneapolis,MN,2,570
Plays,All non-musical theatre,The Country Girl,2008-03-23 19:00:00,Biltmore Theatre,New York City,NY,4,1772
Musicals,Musical theatre,Mary Poppins,2008-03-01 14:00:00,Royce Hall,Los Angeles,CA,4,1848
Musicals,Musical theatre,Legally Blonde,2008-02-26 19:30:00,Biltmore Theatre,New York City,NY,1,297
Musicals,Musical theatre,Legally Blonde,2008-02-26 19:30:00,Biltmore Theatre,New York City,NY,4,1188
Pop,All rock and pop music concerts,Wilco,2008-02-23 14:00:00,Amway Arena,Orlando,FL,1,21
Plays,All non-musical theatre,The Country Girl,2008-04-03 19:30:00,August Wilson Theatre,New York City,NY,2,510
Opera,All opera and light opera,The Queen of Spades,2008-04-13 20:00:00,Lyric Opera House,Chicago,IL,2,822
Pop,All rock and pop music concerts,Michael McDonald,2008-02-26 19:00:00,Jobing.com Arena,Glendale,AZ,1,483
Pop,All rock and pop music concerts,The Police,2008-02-22 14:00:00,Minute Maid Park,Houston,TX,2,296
Musicals,Musical theatre,A Catered Affair,2008-03-04 14:30:00,August Wilson Theatre,New York City,NY,4,1400
Pop,All rock and pop music concerts,Rick Braun,2008-03-04 19:00:00,Hersheypark Stadium,Hershey,PA,2,532
Plays,All non-musical theatre,The Caretaker,2008-02-22 14:00:00,Hilton Theatre,New York City,NY,1,429
Pop,All rock and pop music concerts,Gary Allan,2008-04-13 15:00:00,Lucas Oil Stadium,Indianapolis,IN,1,372
Plays,All non-musical theatre,Rosencrantz and Guildenstern Are Dead,2008-03-30 14:30:00,Lyceum Theatre,New York City,NY,2,600
Musicals,Musical theatre,Legally Blonde,2008-04-03 19:00:00,Royce Hall,Los Angeles,CA,1,30
Pop,All rock and pop music concerts,O.A.R.,2008-02-23 15:00:00,Minute Maid Park,Houston,TX,4,1016
Musicals,Musical theatre,West Side Story,2008-04-11 15:00:00,Winter Garden Theatre,New York City,NY,2,762
Plays,All non-musical theatre,The Caretaker,2008-03-14 14:30:00,George Gershwin Theatre,New York City,NY,2,40
Musicals,Musical theatre,Les Miserables,2008-03-12 14:00:00,Geffen Playhouse,Los Angeles,CA,1,31
Pop,All rock and pop music concerts,Brooks and Dunn,2008-03-16 19:30:00,Citizens Bank Park,Philadelphia,PA,4,968
Pop,All rock and pop music concerts,Jill Scott,2008-03-10 19:30:00,Nassau Veterans Memorial Coliseum,Uniondale,NY,3,1461
Pop,All rock and pop music concerts,Decemberists,2008-02-22 20:00:00,PNC Park,Pittsburgh,PA,1,101
Pop,All rock and pop music concerts,Janet Jackson,2008-02-22 15:00:00,Jacksonville Municipal Stadium,Jacksonville,FL,1,370
Musicals,Musical theatre,Legally Blonde,2008-03-02 19:00:00,Bellagio Hotel,Las Vegas,NV,1,477
Musicals,Musical theatre,Seven Brides for Seven Brothers,2008-03-23 14:30:00,New Amsterdam Theatre,New York City,NY,2,502
Pop,All rock and pop music concerts,Pepe Aguilar,2008-04-02 14:00:00,Bradley Center,Milwaukee,WI,4,1772
Pop,All rock and pop music concerts,Zucchero,2008-03-21 14:00:00,M&T Bank Stadium,Baltimore,MD,2,3138
Pop,All rock and pop music concerts,Neil Diamond,2008-03-10 19:30:00,Chase Field,Phoenix,AZ,2,2242
Musicals,Musical theatre,A Catered Affair,2008-03-04 14:30:00,August Wilson Theatre,New York City,NY,2,1178
Pop,All rock and pop music concerts,Sarah Brightman,2008-03-04 19:00:00,LP Field,Nashville,TN,1,2340
Pop,All rock and pop music concerts,Joshua Radin,2008-03-21 15:00:00,Tropicana Field,St. Petersburg,FL,2,910
Musicals,Musical theatre,O - Cirque du Soleil,2008-03-29 15:00:00,Venetian Hotel,Las Vegas,NV,2,2044
Pop,All rock and pop music concerts,Alicia Keys,2008-03-09 19:30:00,New York Giants Stadium,East Rutherford,NJ,1,1839
Pop,All rock and pop music concerts,Arlo Guthrie,2008-03-02 14:00:00,Hubert H. Humphrey Metrodome,Minneapolis,MN,1,2486
Plays,All non-musical theatre,Hedda Gabler,2008-02-27 19:00:00,Lincoln Center for the Performing Arts,New York City,NY,1,1176
Musicals,Musical theatre,Oliver!,2008-03-15 19:00:00,Circle in the Square Theatre,New York City,NY,2,500
Musicals,Musical theatre,Legally Blonde,2008-03-14 14:30:00,John Golden Theatre,New York City,NY,1,165
Plays,All non-musical theatre,Rhinoceros,2008-03-25 20:00:00,Marquis Theatre,New York City,NY,1,102
Plays,All non-musical theatre,Avenue Q,2008-03-02 15:00:00,St. James Theatre,New York City,NY,2,198
Pop,All rock and pop music concerts,Joe Cocker,2008-03-01 19:30:00,Turner Field,Atlanta,GA,1,190
Pop,All rock and pop music concerts,Paul Weller,2008-02-28 19:00:00,Buck Shaw Stadium,Santa Clara,CA,1,89
Pop,All rock and pop music concerts,Soulfest,2008-04-04 14:00:00,Hubert H. Humphrey Metrodome,Minneapolis,MN,3,324
Plays,All non-musical theatre,Glengarry Glen Ross,2008-02-27 14:00:00,Longacre Theatre,New York City,NY,2,486
Pop,All rock and pop music concerts,Engelbert Humperdinck,2008-03-06 19:00:00,Minute Maid Park,Houston,TX,1,230
Pop,All rock and pop music concerts,Kenny Loggins,2008-03-13 15:00:00,HP Pavilion at San Jose,San Jose,CA,1,150
Pop,All rock and pop music concerts,Return To Forever,2008-03-12 15:00:00,Dodger Stadium,Los Angeles,CA,2,652
Plays,All non-musical theatre,Hamlet,2008-03-13 14:30:00,Minskoff Theatre,New York City,NY,2,430
Pop,All rock and pop music concerts,Frankie Valli,2008-03-23 15:00:00,Reliant Stadium,Houston,TX,1,171
Plays,All non-musical theatre,A Midsummer Night's Dream,2008-03-22 15:00:00,Palace Theatre,New York City,NY,1,295
Pop,All rock and pop music concerts,Kiss,2008-04-06 19:00:00,Coors Field,Denver,CO,4,236
Pop,All rock and pop music concerts,Dave Matthews Band,2008-03-10 19:00:00,Oracle Arena,Oakland,CA,1,43
Pop,All rock and pop music concerts,Indigo Girls,2008-03-23 15:00:00,General Motors Place,Vancouver,BC,4,100
Pop,All rock and pop music concerts,At The Gates,2008-03-19 19:00:00,Air Canada Centre,Toronto,ON,1,322
Pop,All rock and pop music concerts,Rock The Bayou,2008-03-04 20:00:00,The Palace of Auburn Hills,Auburn Hills,MI,3,621
Pop,All rock and pop music concerts,Reba McEntire,2008-02-28 15:00:00,Rogers Centre,Toronto,ON,4,88
Pop,All rock and pop music concerts,Rush,2008-02-24 15:00:00,ARCO Arena,Sacramento,CA,2,418
Pop,All rock and pop music concerts,Jamboree in the Hills,2008-03-01 15:00:00,CommunityAmerica Ballpark,Kansas City,KS,4,472
Pop,All rock and pop music concerts,Regina Spektor,2008-03-16 14:00:00,Reliant Stadium,Houston,TX,2,646
Plays,All non-musical theatre,A Tale of Two Cities,2008-03-05 19:30:00,Al Hirschfeld Theatre,New York City,NY,1,176
Musicals,Musical theatre,The King and I,2008-03-01 14:30:00,George Gershwin Theatre,New York City,NY,3,1425
Pop,All rock and pop music concerts,Zappa Plays Zappa,2008-03-27 15:00:00,Miller Park,Milwaukee,WI,4,732
Musicals,Musical theatre,Oliver!,2008-03-02 14:30:00,Greek Theatre,Los Angeles,CA,2,606
Plays,All non-musical theatre,The Seagull,2008-03-05 14:30:00,Lyceum Theatre,New York City,NY,1,477
Pop,All rock and pop music concerts,Sevendust,2008-03-20 15:00:00,Izod Center,East Rutherford,NJ,2,968
Plays,All non-musical theatre,November,2008-03-09 14:30:00,Ethel Barrymore Theatre,New York City,NY,3,1482
Pop,All rock and pop music concerts,Soulfest,2008-04-06 19:00:00,Reliant Stadium,Houston,TX,1,94
Pop,All rock and pop music concerts,Snoop Dogg,2008-03-14 19:00:00,Bell Centre,Montreal,QC,1,33
Plays,All non-musical theatre,Rosencrantz and Guildenstern Are Dead,2008-03-07 14:30:00,Marquis Theatre,New York City,NY,1,219
Plays,All non-musical theatre,Waiting for Godot,2008-03-01 20:00:00,Lyceum Theatre,New York City,NY,4,1564
Pop,All rock and pop music concerts,Isaac Hayes,2008-03-07 19:30:00,Xcel Energy Center,St. Paul,MN,3,1095
Pop,All rock and pop music concerts,Dave Matthews Band,2008-03-10 19:00:00,Oracle Arena,Oakland,CA,4,568
Plays,All non-musical theatre,Miss Julie,2008-03-08 14:00:00,Lunt-Fontanne Theatre,New York City,NY,4,276
Pop,All rock and pop music concerts,REO Speedwagon,2008-03-23 15:00:00,Quicken Loans Arena,Cleveland,OH,2,712
Musicals,Musical theatre,Curtains,2008-02-28 15:00:00,Longacre Theatre,New York City,NY,1,221
Musicals,Musical theatre,Mamma Mia!,2008-03-14 15:00:00,Studio 54,New York City,NY,4,968
Pop,All rock and pop music concerts,Eagles,2008-03-24 19:30:00,Dodger Stadium,Los Angeles,CA,1,56
Plays,All non-musical theatre,The Country Girl,2008-03-19 20:00:00,August Wilson Theatre,New York City,NY,1,488
Pop,All rock and pop music concerts,Extreme,2008-04-04 19:30:00,Quicken Loans Arena,Cleveland,OH,1,47
Plays,All non-musical theatre,The Seagull,2008-03-17 19:00:00,Vivian Beaumont Theatre,New York City,NY,1,60
Plays,All non-musical theatre,The Homecoming,2008-02-23 20:00:00,Ethel Barrymore Theatre,New York City,NY,1,25
Plays,All non-musical theatre,Miss Julie,2008-03-28 15:00:00,Palace Theatre,New York City,NY,1,173
Pop,All rock and pop music concerts,Fergie,2008-02-25 15:00:00,Wachovia Center,Philadelphia,PA,4,1144
Pop,All rock and pop music concerts,O.A.R.,2008-02-23 15:00:00,Minute Maid Park,Houston,TX,4,1728
Pop,All rock and pop music concerts,Bo Bice,2008-03-23 15:00:00,U.S. Cellular Field,Chicago,IL,2,654
Musicals,Musical theatre,Gypsy,2008-04-05 19:30:00,Carnegie Hall,New York City,NY,1,268
Pop,All rock and pop music concerts,Little River Band,2008-02-27 15:00:00,Madison Square Garden,New York City,NY,1,205
Opera,All opera and light opera,Don Giovanni,2008-03-15 15:00:00,Grand 1894 Opera House,Galveston,TX,1,307
Plays,All non-musical theatre,Spring Awakening,2008-03-02 20:00:00,Gerald Schoenfeld Theatre,New York City,NY,4,1952
Pop,All rock and pop music concerts,Bad Company,2008-03-08 19:30:00,RFK Stadium,Washington,DC,2,430
Pop,All rock and pop music concerts,Keith Urban,2008-02-24 19:30:00,Target Center,Minneapolis,MN,2,918
Plays,All non-musical theatre,Thurgood,2008-03-07 15:00:00,Ambassador Theatre,New York City,NY,1,347
Pop,All rock and pop music concerts,Jamboree in the Hills,2008-03-01 15:00:00,CommunityAmerica Ballpark,Kansas City,KS,1,456
Pop,All rock and pop music concerts,Rock The Bayou,2008-04-07 19:30:00,Texas Stadium,Irving,TX,2,92
Pop,All rock and pop music concerts,Luis Miguel,2008-03-05 14:00:00,Shea Stadium,New York City,NY,2,462
Musicals,Musical theatre,Spamalot,2008-02-26 20:00:00,Biltmore Theatre,New York City,NY,1,480
Pop,All rock and pop music concerts,Paramore,2008-03-25 19:30:00,Dodger Stadium,Los Angeles,CA,2,130
Plays,All non-musical theatre,Cirque du Soleil,2008-04-13 20:00:00,Brooks Atkinson Theatre,New York City,NY,2,44
Musicals,Musical theatre,Dirty Dancing,2008-04-09 14:30:00,Studio 54,New York City,NY,1,31
Musicals,Musical theatre,Memphis - The Birth of Rock n Roll,2008-03-11 14:30:00,Imperial Theatre,New York City,NY,3,600
Pop,All rock and pop music concerts,Cold War Kids,2008-03-02 19:00:00,Yankee Stadium,New York City,NY,1,454
Musicals,Musical theatre,Hairspray,2008-03-15 19:30:00,Curran Theatre,San Francisco,CA,4,1640
Pop,All rock and pop music concerts,Bryan Adams,2008-04-12 14:00:00,Pepsi Center,Denver,CO,1,389
Musicals,Musical theatre,Mamma Mia!,2008-03-14 20:00:00,The Guthrie Theater,Minneapolis,MN,1,247
Plays,All non-musical theatre,Iphigenia,2008-03-19 19:30:00,Studio 54,New York City,NY,1,179
Plays,All non-musical theatre,Passing Strange,2008-03-04 14:30:00,Marquis Theatre,New York City,NY,4,768
Musicals,Musical theatre,High Society,2008-04-11 19:30:00,Studio 54,New York City,NY,1,164
Pop,All rock and pop music concerts,Michael McDonald,2008-04-11 14:00:00,Rogers Centre,Toronto,ON,2,322
Plays,All non-musical theatre,Thurgood,2008-03-07 15:00:00,Ambassador Theatre,New York City,NY,1,385
Pop,All rock and pop music concerts,Bon Jovi,2008-03-05 19:30:00,Hersheypark Stadium,Hershey,PA,2,224
Pop,All rock and pop music concerts,Gretchen Wilson,2008-03-19 19:30:00,Lucas Oil Stadium,Indianapolis,IN,1,369
Pop,All rock and pop music concerts,Counting Crows and Maroon 5,2008-02-27 15:00:00,AT&T Park,San Francisco,CA,2,678
Pop,All rock and pop music concerts,Yaz,2008-04-13 19:30:00,Toyota Park,Bridgeview,IL,1,409
Musicals,Musical theatre,Billy Elliot the Musical,2008-03-25 15:00:00,Lunt-Fontanne Theatre,New York City,NY,2,136
Pop,All rock and pop music concerts,Sarah Brightman,2008-04-20 14:00:00,Bradley Center,Milwaukee,WI,3,1305
Plays,All non-musical theatre,Hedda Gabler,2008-03-16 14:30:00,John Golden Theatre,New York City,NY,2,918
Plays,All non-musical theatre,The Seafarer,2008-04-10 15:00:00,Pasadena Playhouse,Pasadena,CA,4,1740
Opera,All opera and light opera,La Rondine,2008-03-26 19:30:00,Kennedy Center Opera House,Washington,DC,1,2322
Pop,All rock and pop music concerts,Frankie Valli,2008-03-23 15:00:00,Reliant Stadium,Houston,TX,1,1881
Musicals,Musical theatre,South Pacific,2008-03-26 20:00:00,Greek Theatre,Los Angeles,CA,2,4328
Pop,All rock and pop music concerts,Zappa Plays Zappa,2008-03-05 19:00:00,Air Canada Centre,Toronto,ON,1,853
Musicals,Musical theatre,Spamalot,2008-03-03 14:30:00,August Wilson Theatre,New York City,NY,3,4155
Musicals,Musical theatre,O - Cirque du Soleil,2008-03-08 14:30:00,Venetian Hotel,Las Vegas,NV,1,540
Pop,All rock and pop music concerts,Aretha Franklin,2008-03-20 15:00:00,Madison Square Garden,New York City,NY,1,1622
Pop,All rock and pop music concerts,Kansas,2008-04-02 19:30:00,Superpages.com Center,Dallas,TX,1,2441
Plays,All non-musical theatre,A Doll's House,2008-03-03 19:30:00,Eugene O'Neill Theatre,New York City,NY,3,4710
